69.175.126.170 - - [30/Jan/2013:00:41:08 -0600] "GET / HTTP/1.0" 200 11424
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /tomcat.css HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /tomcat.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET / HTTP/1.1" 200 11444
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /bg-nav.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /asf-logo.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /bg-upper.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /bg-button.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:31:43 -0600] "GET /bg-middle.png HTTP/1.1" 304 -
144.124.25.241 - - [30/Jan/2013:05:37:30 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:05:37:34 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 96
144.124.25.241 - - [30/Jan/2013:05:44:41 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:05:50:12 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 96
144.124.25.241 - - [30/Jan/2013:05:57:58 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:05:58:02 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 96
144.124.25.241 - - [30/Jan/2013:06:07:28 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:07:32 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 96
144.124.25.241 - - [30/Jan/2013:06:27:24 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:27:28 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 127
144.124.25.241 - - [30/Jan/2013:06:27:28 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 127
144.124.25.241 - - [30/Jan/2013:06:29:30 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:29:33 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 254
144.124.25.241 - - [30/Jan/2013:06:32:22 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:32:26 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 273
144.124.25.241 - - [30/Jan/2013:06:33:31 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:33:33 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 84
144.124.25.241 - - [30/Jan/2013:06:37:19 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:37:21 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 84
144.124.25.241 - - [30/Jan/2013:06:39:07 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:39:10 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 264
144.124.25.241 - - [30/Jan/2013:06:40:38 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:40:40 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 89
144.124.25.241 - - [30/Jan/2013:06:42:28 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:42:31 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 61
144.124.25.241 - - [30/Jan/2013:06:44:45 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:44:51 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 20
144.124.25.241 - - [30/Jan/2013:06:55:03 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:55:06 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 61
144.124.25.241 - - [30/Jan/2013:06:55:57 -0600] "GET /nathan_test/Authentication.jsp HTTP/1.1" 200 263
144.124.25.241 - - [30/Jan/2013:06:56:00 -0600] "POST /nathan_test/Authentication HTTP/1.1" 200 127
