180.76.6.232 - - [10/Feb/2013:00:05:57 -0600] "GET /manager/status HTTP/1.1" 401 2550
180.76.5.167 - - [10/Feb/2013:05:43:32 -0600] "GET /docs/jndi-datasource-examples-howto.html HTTP/1.1" 200 58731
92.240.68.152 - - [10/Feb/2013:07:12:34 -0600] "GET /foto/PIC1499O.jpg HTTP/1.1" 404 985
180.76.5.178 - - [10/Feb/2013:10:41:45 -0600] "GET /manager/status HTTP/1.1" 401 2550
42.61.35.13 - - [10/Feb/2013:14:06:10 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:10 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:10 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:11 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:11 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:11 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:12 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:13 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:13 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:13 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:13 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:13 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:14 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:15 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:16 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:17 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:18 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:19 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:19 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:19 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:19 -0600] "HEAD /manager/html HTTP/1.0" 401 -
42.61.35.13 - - [10/Feb/2013:14:06:20 -0600] "HEAD /manager/html HTTP/1.0" 401 -
180.76.5.162 - - [10/Feb/2013:15:40:29 -0600] "GET /robots.txt HTTP/1.1" 404 971
127.0.0.1 - - [10/Feb/2013:17:12:16 -0600] "GET / HTTP/1.1" 200 11444
127.0.0.1 - - [10/Feb/2013:17:12:33 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:12:33 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [10/Feb/2013:17:12:35 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:12:49 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:12:50 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:13:15 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:13:18 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:13:18 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:13:18 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
127.0.0.1 - - [10/Feb/2013:17:13:19 -0600] "GET /phpmyadmin/ HTTP/1.1" 404 973
